store,address,zip,status,updated,long,lat
Happy Foods - Edison Park,6783 Northwest Highway,60631,OPEN,6/4/2020 15:00,-87.818421,42.004199
Jewel - Osco,3128 W 103rd St,60655-2010,OPEN,6/3/2020 17:00,-87.699375,41.706252
Aldi,2828 N Central Ave,60634-5306,OPEN,6/4/2020 15:00,-87.766235,41.931987
Aldi,5629 W Fillmore St,60644-5504,OPEN,6/4/2020 15:00,-87.766267,41.867428
Woodlawn Super Fair LLC,6319 S VERNON AVE,60637,OPEN,6/10/2020 0:00,-87.614421,41.779709
Target,3204 N CLARK ST,60657,OPEN,6/10/2020 0:00,-87.650766,41.940086
Aldi,1739 W Cermak Rd,60608-4315,OPEN,6/4/2020 15:00,-87.670188,41.852282
Aldi,1440 N Kostner Ave,60651-1602,OPEN,6/4/2020 15:00,-87.736287,41.907435
Potash Markets,875 N State Street,60610,OPEN,6/4/2020 15:00,-87.628297,41.898681
Jewel - Osco,443 E 34th St,60616-4135,OPEN,6/3/2020 17:00,-87.614555,41.83312
Seafood City Supermarket,5033 N ELSTON AVE,60630,OPEN,6/10/2020 0:00,-87.746374,41.971936
Target,2112 W Peterson Ave,60659-4277,OPEN,6/10/2020 0:00,-87.683199,41.990654
Jewel - Osco,3400 N Western Ave,60618-6012,OPEN,6/3/2020 17:00,-87.688073,41.943389
Walmart,4650 W North Ave,60639-4611,CLOSED,6/10/2020 0:00,-87.743003,41.909734
Cermak Produce,4000 West Diversey Ave,60647,OPEN,6/4/2020 15:00,,
Pete's Produce,1411 West 87th Street,60620,OPEN,6/4/2020 15:00,-87.658721,41.735796
Whole Foods Market,1101 S Canal St Ste 107,60607-4932,OPEN,6/4/2020 15:00,-87.639224,41.868909
Aldi,2600 N Clybourn Ave,60614-1004,OPEN,6/4/2020 15:00,-87.674207,41.928914
Carniceria La Hacienda,3459 W 59th St,60629,OPEN,6/4/2020 15:00,-87.710412,41.786138
Bockwinkel's at Park Millenium,222 N Columbus,60601,OPEN,,-87.620734,41.886498
Walmart,7050 S Cicero Ave,60638-6402,OPEN,6/10/2020 0:00,-87.742029,41.765309
Aldi,7545 S Western Ave,60620-5817,OPEN,6/4/2020 15:00,-87.682933,41.756043
Shop & Save Market,5829 S Archer Ave,60638,OPEN,6/4/2020 15:00,-87.759575,41.796111
Cermak Produce,2701 W NORTH AVE,60647,OPEN,6/10/2020 0:00,-87.69471,41.910211
Aldi,620 W 63rd St,60621-2012,OPEN,6/5/2020 13:21,-87.640454,41.779823
One Stop Foods,4301 S Lake Park Ave,60653,OPEN,6/4/2020 15:00,-87.598545,41.816482
Jewel - Osco,1655 E 95th St,60617-4707,OPEN,6/3/2020 17:00,-87.584006,41.722319
Fairplay Neighborhood Market,4640 S Halsted St.,60609,OPEN,6/5/2020 13:21,-87.645624,41.810628
Whole Foods Market,959 W Fullerton Ave,60614-2406,ONLINE ORDERS ONLY,6/10/2020 0:00,-87.6533,41.925405
Save A Lot,420 S Pulaksi Rd,60624,OPEN,6/5/2020 13:21,-87.725425,41.874532
Potash Markets,1525 N Clark Street,60610,OPEN,6/4/2020 15:00,-87.631633,41.910246
Mariano's Fresh Market,2021 W Chicago Avenue,60622,OPEN,6/5/2020 13:21,-87.677972,41.895918
Carniceria La Hacienda,5153 S Kedzie Ave,60632,OPEN,6/10/2020 0:00,-87.703718,41.799112
Aldi,4934 S Kedzie Ave,60632-3042,OPEN,6/4/2020 15:00,-87.703824,41.802995
Aldi,13085 S Ashland Ave,60827-6333,OPEN,6/4/2020 15:00,-87.660633,41.656854
Jewel - Osco,6014 S Cottage Grove,60637,OPEN,6/3/2020 17:00,-87.606036,41.784548
Rio Valley Market,3307 W 63RD ST,60629,OPEN,6/10/2020 0:00,-87.707291,41.778911
Johnny's Foods,7158 S ASHLAND AVE,60636,CLOSED,6/10/2020 0:00,-87.663836,41.763146
Jewel - Osco,7342 W Foster Ave Ste 1,60656-3617,OPEN,6/3/2020 17:00,-87.811426,41.974395
Save A Lot,10700 S Halsed St,60628,OPEN,6/4/2020 15:00,-87.642681,41.699358
Jewel - Osco,3570 N Elston Ave,60618-4318,OPEN,6/3/2020 17:00,-87.708163,41.946197
Carniceria Jimenez,3850 W North Ave,60647,OPEN,6/3/2020 21:30,-87.723227,41.909993
Food Market La Chicquita,2637 S Pulaski Road,60623,OPEN,6/4/2020 15:00,-87.724506,41.843096
Carniceria Jimenez,5330 W Belmont Ave,60641,OPEN,6/3/2020 21:30,-87.760298,41.938673
Whole Foods Market,30 W Huron St,60654-6402,OPEN,6/4/2020 15:00,-87.629609,41.894857
